Vùng,Số người tiếp cận được,Số lần hiển thị,Số tiền đã chi
An Giang,618285,4702798,177677298
Bà Rịa,614164,4227499,191548220
Bắc Giang,714491,3595392,140465342
Bắc Kạn,75752,709263,23951243
Bạc Liêu,274364,1578205,60318693
Bắc Ninh,685763,3813978,157838300
Bến Tre,431955,2439687,90940171
Bình Định,583482,3274335,121150725
Bình Dương,1433121,7587704,343662400
Bình Phước,388954,2321123,94426335
Bình Thuận,579319,3195710,129929474
Cà Mau,399195,2519424,99480564
Cần Thơ,720660,4611407,188508960
Cao Bằng,163771,1240463,42337971
Đà Nẵng,771782,4688692,223636555
Đắk Lắk,651024,4442274,154081517
Đắk Nông,171952,1218645,44709852
Điện Biên,251788,1452315,57651224
Đồng Nai,1342999,9152627,402465600
Đồng Tháp,425830,2984592,112463742
Gia Lai,378749,2746633,102101584
Hà Giang,102373,1266198,50902829
Hà Nam,229307,1639990,64705035
Hà Nội,6872808,59716260,2766540185
Hà Tĩnh,413530,3079285,113561368
Hải Dương,567068,4595523,185081622
Hải Phòng,1173020,6329550,305035930
Hậu Giang,141232,707894,26074053
Hồ Chí Minh,5476297,33074410,1986031156
Hòa Bình,284566,1957000,71228598
Hưng Yên,376654,2389526,98643730
Khánh Hòa,622334,3978519,171157865
Kiên Giang,483201,3606563,156077301
Kon Tum,163770,1005259,38073829
Lai Châu,49145,313568,11788285
Lâm Đồng,495434,3361573,138634702
Lạng Sơn,217023,1886224,66084563
Lào Cai,284600,1800418,75510995
Long An,608064,2732229,113412322
Nam Định,434020,3079845,118116057
Nghệ An,1173076,6930184,269467492
Ninh Bình,335748,2068967,81788335
Ninh Thuận,221110,1271042,49668796
Phú Thọ,409472,2918700,115433027
Phú Yên,249766,1683829,61227265
Quảng Bình,358276,2599042,99931285
Quảng Nam,483167,2989449,114991433
Quảng Ngãi,329615,2295412,85458912
Quảng Ninh,501594,4546890,202099683
Quảng Trị,212939,1586304,56303366
Sóc Trăng,395133,2057592,73405702
Sơn La,245695,1914249,71372102
Tây Ninh,534326,3610279,149481161
Thái Bình,360337,2562261,98040554
Thái Nguyên,503622,3703286,128559098
Thanh Hóa,941776,7026914,291113871
Thừa Thiên Huế,421717,2957553,100068751
Tiền Giang,417661,3339334,122116458
Trà Vinh,290722,1806972,61502515
Tuyên Quang,257954,1691680,59984738
Unknown,159581,313799,144672788
Vĩnh Long,257954,1644284,60624726
Vĩnh Phúc,239474,2085828,85713817
Yên Bái,262050,1573414,58809010
